Grape,Country,Wine name,Wine rating average,Wine ratings count
Cabernet Sauvignon,es,Camí Pesseroles,4.5,1083
Cabernet Sauvignon,za,Faith,4.5,1048
Cabernet Sauvignon,md,Negru de Purcari Limited Edition,4.5,970
Cabernet Sauvignon,es,Pedro Ximenez Tradición 20 Years Old Vos,4.5,954
Cabernet Sauvignon,il,Yarden Katzrin,4.5,894
Cabernet Sauvignon,es,El Carretil,4.5,748
Cabernet Sauvignon,md,Ice Wine de Purcari,4.5,722
Cabernet Sauvignon,es,Tinto,4.5,585
Cabernet Sauvignon,es,Son Negre,4.5,521
Cabernet Sauvignon,us,Chloe Chardonnay,4.5,458
Cabernet Sauvignon,us,Red Blend,4.5,457
Cabernet Sauvignon,es,Mas Via Gran Reserva Brut,4.5,408
Cabernet Sauvignon,za,Reserve Chardonnay,4.5,396
Cabernet Sauvignon,us,Grace Vineyard Pinot Noir,4.5,385
Cabernet Sauvignon,es,Sed de Caná,4.5,345
Cabernet Sauvignon,us,Finn Pinot Noir,4.5,331
Cabernet Sauvignon,es,Don PX Selección,4.5,326
Cabernet Sauvignon,hu,Aszú Eszencia,4.5,283
Cabernet Sauvignon,us,Pym-Rae Red Blend,4.5,273
Cabernet Sauvignon,es,Cuvée N Viñas Viejas,4.5,263
Cabernet Sauvignon,us,Mark Bradford Vineyard Pinot Noir,4.5,254
Cabernet Sauvignon,es,Mironia Black Edition Tempranillo,4.5,187
Cabernet Sauvignon,us,Bentrock Vineyard Chardonnay,4.5,118
Cabernet Sauvignon,es,Pedrouzos Godello,4.5,109
Cabernet Sauvignon,cl,Red Blend,4.5,102
Cabernet Sauvignon,md,Academia Purcari Rară Neagră,4.5,73
Cabernet Sauvignon,au,802.A Superblend,4.5,66
Cabernet Sauvignon,us,Alpine Hillside Pinot Noir,4.5,46
Cabernet Sauvignon,us,Grenache,4.5,34
Cabernet Sauvignon,us,ARTEMIS Cabernet Sauvignon,4.4,81351
Cabernet Sauvignon,es,Tinto,4.4,65625
Cabernet Sauvignon,es,Toro,4.4,60705
Cabernet Sauvignon,ar,Malbec Argentino,4.4,47435
Cabernet Sauvignon,us,Alexander Valley Cabernet Sauvignon,4.4,46066
Cabernet Sauvignon,us,Cabernet Sauvignon,4.4,28544
Cabernet Sauvignon,ar,Nicolás Catena Zapata,4.4,28227
Cabernet Sauvignon,us,Eight Years In The Desert,4.4,27195
Cabernet Sauvignon,es,Roda I Reserva Rioja,4.4,22749
Cabernet Sauvignon,ar,Mendoza,4.4,19849
Cabernet Sauvignon,ar,Bramare Malbec Uco Valley,4.4,19752
Cabernet Sauvignon,au,St. Henri Shiraz,4.4,17326
Cabernet Sauvignon,ar,Gran Corte (VII),4.4,15016
Cabernet Sauvignon,es,Macán,4.4,14368
Cabernet Sauvignon,es,Belondrade y Lurton,4.4,13567
Cabernet Sauvignon,es,Rioja Reserva,4.4,13544
Cabernet Sauvignon,za,Fusion V,4.4,12877
Cabernet Sauvignon,us,Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652
Cabernet Sauvignon,us,Evenstad Reserve Pinot Noir,4.4,11531
Cabernet Sauvignon,hu,5 Puttonyos Aszú (Blue Label),4.4,11106
Cabernet Sauvignon,cl,Domus Aurea Cabernet Sauvignon,4.4,9603
Cabernet Sauvignon,es,Torre Muga,4.4,8767
Cabernet Sauvignon,es,Barón de Chirel Rioja Reserva,4.4,8578
Cabernet Sauvignon,es,Dalmau Rioja,4.4,7868
Cabernet Sauvignon,us,Les Noisetiers,4.4,7035
Cabernet Sauvignon,ar,Mai The First A.Montes Malbec,4.4,6379
Cabernet Sauvignon,md,Saperavi,4.4,4745
Cabernet Sauvignon,za,Nebukadnesar,4.4,3609
Cabernet Sauvignon,ar,Treinta y Dos Pinot Noir,4.4,3417
