Grape,Country,Wine name,Wine rating average,Wine ratings count
Chardonnay,fr,Bâtard-Montrachet Grand Cru,4.6,1191
Chardonnay,us,Reserve,4.6,1175
Chardonnay,fr,La Grande Dame Brut Rosé Champagne,4.6,1118
Chardonnay,it,L'Amarone del Maestro Fornaser,4.6,1031
Chardonnay,it,Barolo Riserva Villero,4.6,803
Chardonnay,it,Vin Santo di Montepulciano,4.6,773
Chardonnay,fr,Musigny Grand Cru,4.6,739
Chardonnay,fr,Corton-Charlemagne Grand Cru,4.6,719
Chardonnay,it,Barolo Cerretta,4.6,684
Chardonnay,fr,Vosne-Romanée Premier Cru Aux Reignots,4.6,645
Chardonnay,it,Falletto Barolo Le Rocche del Falletto Riserva,4.6,622
Chardonnay,it,Barolo Riserva Monprivato Cà d'Morissio,4.6,588
Chardonnay,us,Cabernet Sauvignon Coeur De Vallée,4.6,544
Chardonnay,fr,Montrachet Grand Cru,4.6,495
Chardonnay,it,Ampio,4.6,481
Chardonnay,fr,L'Extravagant de Doisy-Daëne Sauternes,4.6,465
Chardonnay,it,Octavius Amarone della Valpolicella Riserva,4.6,450
Chardonnay,it,Perpiero,4.6,351
Chardonnay,fr,Montrachet Grand Cru,4.6,269
Chardonnay,it,Barolo Arione,4.6,259
Chardonnay,it,Recioto della Valpolicella (Monte Lodoletta),4.6,227
Chardonnay,fr,Clos de Tart Grand Cru,4.6,214
Chardonnay,it,Croce Del Gal Riserva Amarone della Valpolicella Classico,4.6,188
Chardonnay,it,Bassolino di Sopra Brunello di Montalcino,4.6,174
Chardonnay,us,Cabernet Sauvignon,4.6,152
Chardonnay,us,EABA,4.6,151
Chardonnay,fr,Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),4.6,149
Chardonnay,us,Lithology Cabernet Sauvignon,4.6,148
Chardonnay,it,Bure Alto Amarone  della Valpolicella Classico Riserva,4.6,132
Chardonnay,fr,Musigny Grand Cru,4.6,128
Chardonnay,it,A50 Amarone della Valpolicella,4.6,100
Chardonnay,it,Secentenario,4.6,96
Chardonnay,it,Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,4.6,94
Chardonnay,it,Nettare Veneto Bianco,4.6,87
Chardonnay,it,Aegusa,4.6,81
Chardonnay,it,Grande Cuvée Luigi Moio,4.6,80
Chardonnay,fr,Bienvenues-Bâtard-Montrachet Grand Cru,4.6,76
Chardonnay,fr,Collection Vintage 2000 Brut,4.6,58
Chardonnay,fr,Les Riceys Cuvée Cyriès Brut Millesimé Champagne,4.6,43
Chardonnay,it,Dieci Brunello di Montalcino,4.6,43
Chardonnay,fr,Clos Saint-Denis Grand Cru,4.6,40
Chardonnay,it,Glesie Climat,4.6,37
Chardonnay,fr,Corton-Charlemagne Grand Cru,4.6,35
Chardonnay,fr,Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',4.6,34
Chardonnay,it,Tignanello,4.5,142513
Chardonnay,it,60 Sessantanni Old Vines Primitivo di Manduria,4.5,94289
Chardonnay,it,Tenuta Guado al Tasso Bolgheri Superiore,4.5,33392
Chardonnay,us,Papillon,4.5,30682
Chardonnay,fr,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
Chardonnay,it,Brunello di Montalcino,4.5,27452
Chardonnay,fr,Comtes de Champagne Blanc de Blancs,4.5,27449
Chardonnay,fr,La Grande Année Brut Champagne,4.5,24646
Chardonnay,it,Barbaresco,4.5,24516
Chardonnay,us,Dominus (Christian Moueix),4.5,22117
Chardonnay,it,Flaccianello della Pieve,4.5,21518
Chardonnay,it,Ben Ryé Passito di Pantelleria,4.5,21351
Chardonnay,fr,Belle Epoque Brut Champagne,4.5,20992
Chardonnay,it,Tenuta Nuova Brunello di Montalcino,4.5,20934
Chardonnay,us,Isosceles,4.5,18920
Chardonnay,ar,Gran Enemigo,4.5,18739
Chardonnay,fr,Dom Ruinart Blanc de Blancs Brut Champagne,4.5,18466
Chardonnay,fr,La Grande Dame Brut Champagne,4.5,17474
Chardonnay,us,Overture,4.5,16804
Chardonnay,us,One Point Five Cabernet Sauvignon,4.5,16341
Chardonnay,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
Chardonnay,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
Chardonnay,it,Valpolicella Superiore Monte Lodoletta,4.5,13024
Chardonnay,it,Valpolicella Classico Superiore,4.5,12262
Chardonnay,fr,Pomerol,4.5,12214
Chardonnay,us,Monte Bello,4.5,11978
Chardonnay,us,FAY Cabernet Sauvignon,4.5,10840
Chardonnay,it,5 Stelle Sfursat,4.5,10740
Chardonnay,it,Amarone della Valpolicella Classico Riserva (Sergio Zenato),4.5,9963
Chardonnay,fr,Grand Siècle Champagne (Grande Cuvée),4.5,9824
Chardonnay,fr,Pomerol,4.5,9531
Chardonnay,it,Limited Edition 10 Vendemmie,4.5,9453
Chardonnay,fr,Vin de Pays de l'Hérault,4.5,8933
Chardonnay,ar,Bramare Marchiori Vineyard Malbec,4.5,8713
Chardonnay,fr,Silex,4.5,8386
Chardonnay,ar,Finca Altamira Malbec,4.5,8093
