Grape Name,Country,Region,Wine,Wine rating average,Wine rating count
Cabernet Sauvignon,au,Clare Valley,The Armagh Shiraz,4.5,2472
Cabernet Sauvignon,hu,Tokaj,Aszú 6 puttonyos,4.5,2450
Cabernet Sauvignon,es,Rioja,Amancio,4.5,2076
Cabernet Sauvignon,us,Sonoma County,La Muse,4.5,1948
Cabernet Sauvignon,za,Stellenbosch,1694 Classification Red,4.5,1841
Cabernet Sauvignon,us,Sonoma County,Le Désir,4.5,1694
Cabernet Sauvignon,za,Stellenbosch,The Stork,4.5,1638
Cabernet Sauvignon,us,Calistoga,Blueline Estate Cabernet Sauvignon,4.5,1321
Cabernet Sauvignon,es,Priorat,Camí Pesseroles,4.5,1083
Cabernet Sauvignon,za,Stellenbosch,Faith,4.5,1048
Cabernet Sauvignon,md,South Eastern,Negru de Purcari Limited Edition,4.5,970
Cabernet Sauvignon,es,Pedro Ximénez Sherry (PX),Pedro Ximenez Tradición 20 Years Old Vos,4.5,954
Cabernet Sauvignon,il,Galilee,Yarden Katzrin,4.5,894
Cabernet Sauvignon,es,Vino de España,El Carretil,4.5,748
Cabernet Sauvignon,md,South Eastern,Ice Wine de Purcari,4.5,722
Cabernet Sauvignon,es,Ribera del Duero,Tinto,4.5,585
Cabernet Sauvignon,es,Mallorca,Son Negre,4.5,521
Cabernet Sauvignon,us,Russian River Valley,Chloe Chardonnay,4.5,458
Cabernet Sauvignon,us,Napa Valley,Red Blend,4.5,457
Cabernet Sauvignon,es,Cava,Mas Via Gran Reserva Brut,4.5,408
Cabernet Sauvignon,za,Greyton,Reserve Chardonnay,4.5,396
Cabernet Sauvignon,us,Dundee Hills,Grace Vineyard Pinot Noir,4.5,385
Cabernet Sauvignon,es,Ribera del Duero,Sed de Caná,4.5,345
Cabernet Sauvignon,us,Russian River Valley,Finn Pinot Noir,4.5,331
Cabernet Sauvignon,es,Montilla-Moriles,Don PX Selección,4.5,326
Cabernet Sauvignon,hu,Tokaj,Aszú Eszencia,4.5,283
Cabernet Sauvignon,us,Napa Valley,Pym-Rae Red Blend,4.5,273
Cabernet Sauvignon,es,Jumilla,Cuvée N Viñas Viejas,4.5,263
Cabernet Sauvignon,us,Dundee Hills,Mark Bradford Vineyard Pinot Noir,4.5,254
Cabernet Sauvignon,es,Ribera del Duero,Mironia Black Edition Tempranillo,4.5,187
Cabernet Sauvignon,us,Sta. Rita Hills,Bentrock Vineyard Chardonnay,4.5,118
Cabernet Sauvignon,es,Valdeorras,Pedrouzos Godello,4.5,109
Cabernet Sauvignon,cl,Maipo Valley,Red Blend,4.5,102
Cabernet Sauvignon,md,South Eastern,Academia Purcari Rară Neagră,4.5,73
Cabernet Sauvignon,au,South Australia,802.A Superblend,4.5,66
Cabernet Sauvignon,us,Santa Cruz Mountains,Alpine Hillside Pinot Noir,4.5,46
Cabernet Sauvignon,us,Santa Barbara County,Grenache,4.5,34
Cabernet Sauvignon,us,Napa Valley,ARTEMIS Cabernet Sauvignon,4.4,81351
Cabernet Sauvignon,es,Ribera del Duero,Tinto,4.4,65625
Cabernet Sauvignon,es,Toro,Toro,4.4,60705
Cabernet Sauvignon,ar,Mendoza,Malbec Argentino,4.4,47435
Cabernet Sauvignon,us,Alexander Valley,Alexander Valley Cabernet Sauvignon,4.4,46066
Cabernet Sauvignon,us,Napa Valley,Cabernet Sauvignon,4.4,28544
Cabernet Sauvignon,ar,Mendoza,Nicolás Catena Zapata,4.4,28227
Cabernet Sauvignon,us,California,Eight Years In The Desert,4.4,27195
Cabernet Sauvignon,es,Rioja,Roda I Reserva Rioja,4.4,22749
Cabernet Sauvignon,ar,Mendoza,Mendoza,4.4,19849
Cabernet Sauvignon,ar,Uco Valley,Bramare Malbec Uco Valley,4.4,19752
Cabernet Sauvignon,au,South Australia,St. Henri Shiraz,4.4,17326
Cabernet Sauvignon,ar,Mendoza,Gran Corte (VII),4.4,15016
Cabernet Sauvignon,es,Rioja,Macán,4.4,14368
Cabernet Sauvignon,es,Rueda,Belondrade y Lurton,4.4,13567
Cabernet Sauvignon,es,Rioja,Rioja Reserva,4.4,13544
Cabernet Sauvignon,za,Stellenbosch,Fusion V,4.4,12877
Cabernet Sauvignon,us,Napa Valley,Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652
Cabernet Sauvignon,us,Willamette Valley,Evenstad Reserve Pinot Noir,4.4,11531
Cabernet Sauvignon,hu,Tokaj,5 Puttonyos Aszú (Blue Label),4.4,11106
Cabernet Sauvignon,cl,Maipo Valley,Domus Aurea Cabernet Sauvignon,4.4,9603
Cabernet Sauvignon,es,Rioja,Torre Muga,4.4,8767
Cabernet Sauvignon,es,Rioja,Barón de Chirel Rioja Reserva,4.4,8578
Cabernet Sauvignon,es,Rioja,Dalmau Rioja,4.4,7868
Cabernet Sauvignon,us,Sonoma Coast,Les Noisetiers,4.4,7035
Cabernet Sauvignon,ar,Mendoza,Mai The First A.Montes Malbec,4.4,6379
Cabernet Sauvignon,md,Moldova,Saperavi,4.4,4745
Cabernet Sauvignon,za,Western Cape,Nebukadnesar,4.4,3609
