winery_id,average_rating,number_of_wines,number_of_wineries
22425,4.449999999999999,2,2
11815,4.449999999999999,2,2
2148,4.449999999999999,2,2
1757,4.449999999999999,2,2
1418,4.449999999999999,2,2
1382,4.449999999999999,2,2
60883,4.433333333333334,3,3
28466,4.433333333333334,3,3
12131,4.433333333333334,3,3
1599,4.433333333333334,3,3
1518,4.433333333333334,3,3
1320,4.433333333333334,3,3
1298,4.433333333333334,3,3
1269,4.433333333333334,3,3
1260,4.433333333333334,3,3
2147,4.428571428571429,7,7
1358,4.428571428571429,7,7
68941,4.425000000000001,4,4
30373,4.425000000000001,4,4
9064,4.425,4,4
308635,4.4,1,1
298550,4.4,1,1
293687,4.4,1,1
287175,4.4,2,2
283096,4.4,2,2
278851,4.4,1,1
261516,4.4,1,1
232772,4.4,1,1
231148,4.4,1,1
223950,4.4,2,2
221277,4.4,1,1
215683,4.4,1,1
203543,4.4,1,1
194229,4.4,1,1
193777,4.4,1,1
186640,4.4,1,1
183112,4.4,1,1
176720,4.4,1,1
170129,4.4,1,1
157115,4.4,1,1
138255,4.4,2,2
121345,4.4,2,2
107862,4.4,1,1
105199,4.4,1,1
92206,4.4,1,1
84899,4.4,1,1
72892,4.4,1,1
72241,4.4,1,1
70670,4.4,1,1
64433,4.4,1,1
64252,4.4,3,3
56541,4.4,1,1
55934,4.4,1,1
48780,4.4,1,1
47305,4.4,1,1
46054,4.4,1,1
44735,4.4,1,1
41743,4.4,1,1
40875,4.4,1,1
40871,4.4,1,1
40544,4.4,1,1
40453,4.4,2,2
39672,4.4,1,1
37575,4.4,1,1
36907,4.4,1,1
34760,4.4,1,1
34701,4.4,1,1
34428,4.4,1,1
32348,4.4,1,1
32279,4.4,1,1
31068,4.4,1,1
30929,4.4,1,1
30901,4.4,1,1
30741,4.4,1,1
26840,4.4,1,1
26455,4.4,2,2
26381,4.4,2,2
26164,4.4,1,1
25807,4.4,2,2
25801,4.4,1,1
25672,4.4,1,1
24519,4.4,1,1
22523,4.4,1,1
21926,4.4,2,2
18151,4.4,1,1
18126,4.4,1,1
17892,4.4,1,1
17731,4.4,1,1
17509,4.4,1,1
17444,4.4,1,1
17401,4.4,1,1
16991,4.4,1,1
16889,4.4,1,1
16624,4.4,1,1
16475,4.4,1,1
15240,4.4,1,1
15233,4.4,1,1
14617,4.4,1,1
14607,4.4,1,1
14505,4.4,1,1
14050,4.4,1,1
13261,4.4,2,2
12915,4.4,1,1
12590,4.4,3,3
12261,4.4,1,1
12167,4.4,1,1
12129,4.4,1,1
12080,4.4,1,1
11865,4.4,1,1
11835,4.4,1,1
11763,4.4,1,1
11630,4.4,1,1
11457,4.4,2,2
11455,4.4,1,1
11344,4.4,1,1
11315,4.4,1,1
11221,4.4,1,1
11187,4.4,1,1
10983,4.4,3,3
10982,4.4,1,1
10864,4.4,1,1
10814,4.4,1,1
10254,4.4,1,1
10204,4.4,1,1
9734,4.4,1,1
9294,4.4,10,10
8037,4.4,1,1
8006,4.4,1,1
8004,4.4,1,1
7969,4.4,1,1
7911,4.4,1,1
7892,4.4,1,1
7618,4.4,1,1
7610,4.4,1,1
7601,4.4,2,2
6965,4.4,1,1
6875,4.4,1,1
6733,4.4,1,1
6640,4.4,1,1
6557,4.4,1,1
6457,4.4,1,1
6287,4.4,1,1
6234,4.4,1,1
5459,4.4,1,1
5415,4.4,1,1
5309,4.4,2,2
5103,4.4,2,2
5087,4.4,1,1
5072,4.4,2,2
5040,4.4,1,1
4899,4.4,1,1
4740,4.4,1,1
4510,4.4,1,1
4440,4.4,1,1
4128,4.4,1,1
3981,4.4,1,1
3948,4.4,1,1
3928,4.4,1,1
3876,4.4,1,1
3796,4.4,1,1
3671,4.4,1,1
3617,4.4,2,2
3269,4.4,1,1
3189,4.4,1,1
3149,4.4,2,2
3106,4.4,1,1
3104,4.4,1,1
3094,4.4,2,2
3023,4.4,1,1
3013,4.4,1,1
2801,4.4,1,1
2752,4.4,1,1
2696,4.4,1,1
2690,4.4,2,2
2639,4.4,1,1
2611,4.4,1,1
2548,4.4,1,1
2523,4.4,1,1
2431,4.4,1,1
2418,4.4,1,1
2337,4.4,1,1
2313,4.4,1,1
2259,4.4,1,1
2214,4.4,2,2
2211,4.4,3,3
2170,4.4,2,2
2071,4.4,1,1
2035,4.4,1,1
2030,4.4,1,1
1972,4.4,1,1
1949,4.4,1,1
1933,4.4,1,1
1910,4.4,1,1
1903,4.4,2,2
1855,4.4,1,1
1845,4.4,1,1
1788,4.4,1,1
1740,4.4,1,1
1707,4.4,1,1
1703,4.4,1,1
1672,4.4,2,2
1652,4.4,1,1
1646,4.4,1,1
1620,4.4,1,1
1598,4.4,1,1
1567,4.4,2,2
1537,4.4,2,2
1513,4.4,1,1
1507,4.4,1,1
1479,4.4,1,1
1475,4.4,1,1
1467,4.4,1,1
1447,4.4,4,4
1441,4.4,2,2
1431,4.4,1,1
1425,4.4,1,1
1422,4.4,1,1
1415,4.4,2,2
1406,4.4,1,1
1392,4.4,3,3
1369,4.4,2,2
1338,4.4,1,1
1334,4.4,1,1
1310,4.4,1,1
1309,4.4,1,1
1308,4.4,2,2
1283,4.4,1,1
1263,4.4,1,1
1258,4.4,1,1
1248,4.4,1,1
628,4.4,1,1
528,4.4,1,1
403,4.4,1,1
16997,4.3999999999999995,3,3
7666,4.3999999999999995,3,3
7654,4.3999999999999995,3,3
11096,4.38,5,5
3619,4.366666666666667,3,3
1702,4.366666666666667,3,3
1583,4.366666666666667,3,3
2460,4.366666666666666,3,3
1543,4.366666666666666,3,3
183545,4.35,2,2
82811,4.35,2,2
53529,4.35,2,2
30829,4.35,2,2
21586,4.35,2,2
14299,4.35,2,2
12264,4.35,2,2
8624,4.35,2,2
7770,4.35,2,2
5450,4.35,2,2
4643,4.35,2,2
4272,4.35,2,2
2381,4.35,2,2
1913,4.35,2,2
1806,4.35,4,4
1723,4.35,2,2
1587,4.35,2,2
1476,4.35,2,2
1450,4.35,2,2
12996,4.333333333333334,3,3
1843,4.333333333333334,3,3
13146,4.333333333333333,3,3
19992,4.325,4,4
1864,4.324999999999999,4,4
23851,4.300000000000001,2,2
4772,4.300000000000001,2,2
4208,4.300000000000001,2,2
1837,4.300000000000001,2,2
291112,4.3,1,1
244651,4.3,1,1
242840,4.3,1,1
228509,4.3,1,1
215545,4.3,1,1
192080,4.3,1,1
177327,4.3,1,1
116221,4.3,1,1
115806,4.3,1,1
59455,4.3,1,1
56544,4.3,1,1
53258,4.3,1,1
52856,4.3,1,1
51948,4.3,1,1
51482,4.3,1,1
43084,4.3,1,1
42463,4.3,1,1
40819,4.3,1,1
32320,4.3,1,1
31669,4.3,1,1
30823,4.3,1,1
29001,4.3,1,1
26177,4.3,1,1
17826,4.3,1,1
15779,4.3,1,1
15775,4.3,1,1
15576,4.3,2,2
15418,4.3,1,1
13983,4.3,1,1
12536,4.3,1,1
12168,4.3,1,1
11880,4.3,1,1
11477,4.3,1,1
11270,4.3,1,1
11265,4.3,1,1
11188,4.3,1,1
10940,4.3,1,1
7927,4.3,1,1
7710,4.3,1,1
7703,4.3,1,1
7637,4.3,1,1
6897,4.3,1,1
6812,4.3,1,1
6609,4.3,1,1
6551,4.3,1,1
6275,4.3,1,1
4026,4.3,1,1
3962,4.3,1,1
3952,4.3,1,1
3931,4.3,1,1
3641,4.3,1,1
3245,4.3,1,1
3155,4.3,1,1
2987,4.3,1,1
2834,4.3,1,1
2727,4.3,1,1
2672,4.3,1,1
2654,4.3,1,1
2396,4.3,1,1
2341,4.3,1,1
2200,4.3,2,2
2093,4.3,1,1
2058,4.3,1,1
2001,4.3,2,2
1945,4.3,2,2
1936,4.3,1,1
1916,4.3,1,1
1842,4.3,1,1
1833,4.3,1,1
1795,4.3,1,1
1777,4.3,1,1
1769,4.3,1,1
1676,4.3,1,1
1544,4.3,1,1
1538,4.3,2,2
1514,4.3,1,1
1489,4.3,1,1
1471,4.3,1,1
1444,4.3,1,1
1387,4.3,1,1
1384,4.3,1,1
1340,4.3,1,1
1300,4.3,1,1
1264,4.3,1,1
1228,4.3,1,1
1215,4.3,1,1
253,4.3,1,1
2004,4.25,2,2
1871,4.25,2,2
246747,4.2,1,1
227850,4.2,1,1
176101,4.2,1,1
134564,4.2,1,1
49412,4.2,1,1
17340,4.2,1,1
14976,4.2,1,1
11205,4.2,1,1
5116,4.2,1,1
4693,4.2,1,1
4604,4.2,1,1
4274,4.2,1,1
4009,4.2,1,1
3829,4.2,1,1
3060,4.2,1,1
2636,4.2,1,1
1680,4.2,1,1
1388,4.2,1,1
6305,4.1,1,1
1234,4.1,1,1
