winery_id,wines_name,average_rating,number_of_wines,total_rating,avg_rating_count
13804,"Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan (Premier Grand Cru Classé)",4.55,2,40811,20405.5
11500,"Brunello di Montalcino Riserva,Brunello di Montalcino",4.55,2,30827,15413.5
7979,"La Grande Dame Brut Champagne,La Grande Dame Brut Rosé Champagne",4.55,2,18592,9296.0
7747,"La Grande Année Brut Champagne,R.D Extra Brut Champagne (Récemment Dégorgé)",4.55,2,32383,16191.5
5050,"Kurni Marche,Kupra Marche",4.55,2,10898,5449.0
4434,"Glesie Climat,Boghis Climat",4.55,2,64,32.0
2788,"Vosne-Romanée Premier Cru Aux Reignots,Vosne-Romanée Premier Cru Les Petits Monts",4.55,2,750,375.0
2486,"Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),Cuvée des Enchanteleurs Brut Champagne",4.55,2,1881,940.5
1983,"Vin de Pays de l'Hérault,Vin de Pays de l'Hérault Blanc",4.55,2,10142,5071.0
1586,"Flor de Pingus,Pingus",4.55,2,38945,19472.5
1368,"Overture,Opus One",4.55,2,93857,46928.5
1343,"Bonnes-Mares Grand Cru,Musigny Grand Cru (Cuveé Vieilles Vignes)",4.55,2,6128,3064.0
1314,"Côte-Rôtie La Landonne,Côte-Rôtie La Mouline,Ermitage Ex-Voto,Côte-Rôtie La Turque",4.55,4,15143,3785.75
11472,"Barolo Riserva Monfortino,Barbera d'Alba Vigna Francia,Barolo Cascina Francia,Barolo Cerretta,Barolo Arione,Charity Edition Nebbiolo d'Alba Arione",4.533333333333334,6,19345,3224.1666666666665
5434,"'Giulio Ferrari' Riserva del Fondatore,Bruno Lunelli Riserva,'Giulio Ferrari' Riserva del Fondatore Rosé",4.533333333333333,3,12996,4332.0
636,"La Muse,La Joie,Le Désir",4.533333333333333,3,5927,1975.6666666666667
11168,"Charmes-Chambertin Grand Cru Les Mazoyères,Bonnes Mares Grand Cru,Musigny Grand Cru,Charlemagne Grand Cru,Bienvenues-Bâtard-Montrachet Grand Cru",4.5200000000000005,5,1507,301.4
2197,"Scharzhofberger Riesling Kabinett,Scharzhofberger Riesling Spätlese,Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese,Scharzhofberger Riesling Auslese,Scharzhofberger Riesling Eiswein",4.52,5,6549,1309.8
10474,"Barbaresco,Costa Russi (Barbaresco) Langhe,Sorì Tildìn (Barbaresco) Langhe,Sorì San Lorenzo,Dagromis Barolo,Conteisa Langhe,Sperss Barolo,Darmagi Langhe,Pieve Santa Restituta Brunello di Montalcino,Pieve Santa Restituta Sugarille Brunello di Montalcino,Gaia & Rey Langhe,Pieve Santa Restituta Rennina Brunello di Montalcino",4.508333333333333,12,107204,8933.666666666666
297918,Tinto,4.5,1,585,585.0
291570,Rosso,4.5,1,88,88.0
282531,Red Blend,4.5,1,457,457.0
278457,Pym-Rae Red Blend,4.5,1,273,273.0
276827,Bentrock Vineyard Chardonnay,4.5,1,118,118.0
265602,Trittenheimer Apotheke,4.5,1,27,27.0
245696,Vinhas Velhas Tinto,4.5,1,736,736.0
236776,Clos de Tart Grand Cru Monopole,4.5,1,4948,4948.0
226947,Amarone della Valpolicella,4.5,1,749,749.0
226135,Duna Mirante Primitivo di Manduria,4.5,1,96,96.0
221018,Brunello di Montalcino,4.5,1,1365,1365.0
218744,Charmes-Chambertin Grand Cru,4.5,1,33,33.0
204617,Tourmaline Pomerol,4.5,1,237,237.0
197168,Kalós Cru Gran Reserva Malbec,4.5,1,3351,3351.0
189731,Amarone della Valpolicella Classico Mater,4.5,1,739,739.0
184911,"Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut",4.5,2,361,180.5
176722,"Pauillac (Premier Grand Cru Classé),Carruades de Lafite Pauillac",4.5,2,53149,26574.5
176721,Pomerol,4.5,1,9531,9531.0
118005,Châteauneuf-du-Pape Amiral G,4.5,1,536,536.0
115575,Champagne,4.5,1,1021,1021.0
104127,Aconcagua Valley,4.5,1,18482,18482.0
97227,Habemus Lazio Rosso (Etichetta Rossa),4.5,1,298,298.0
95627,Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',4.5,1,484,484.0
85065,Quarto Vecchio Amarone della Valpolicella Classico Riserva,4.5,1,292,292.0
78290,"Poggio Alle Nane Maremma Toscana,Ampio",4.5,2,3990,1995.0
75712,Raut Lagrein,4.5,1,58,58.0
61320,Regina del Bosco R.Quarantottomesi,4.5,1,109,109.0
60212,Il San Lorenzo Bianco,4.5,1,673,673.0
58558,Denarius Graves,4.5,1,129,129.0
56613,"Amarone della Valpolicella,Octavius Amarone della Valpolicella Riserva",4.5,2,1742,871.0
55648,60 Sessantanni Old Vines Primitivo di Manduria,4.5,1,94289,94289.0
49280,"Gold Series Syrah,Cabernet Sauvignon,Grenache",4.5,3,663,221.0
43277,Oh Carlos Manuel! Tinto,4.5,1,58,58.0
41902,Le Montrachet Grand Cru,4.5,1,30,30.0
33504,Ciliegio Amarone della Valpolicella,4.5,1,76,76.0
31764,Chambolle-Musigny 1er Cru 'Les Amoureuses',4.5,1,59,59.0
31430,Mas Via Gran Reserva Brut,4.5,1,408,408.0
30580,Chablis Grand Cru 'Valmur',4.5,1,1653,1653.0
30050,Cabochon Doppio Zero,4.5,1,217,217.0
29949,Lupi e Sirene Riserva,4.5,1,1292,1292.0
29919,40 Years Old Port,4.5,1,37,37.0
29615,Vin de Paille,4.5,1,35,35.0
29613,Pour Vous Sancerre,4.5,1,125,125.0
28712,"Reserve Pinotage,888 Pinotage Gold",4.5,2,2125,1062.5
27282,Marmar,4.5,1,514,514.0
25698,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,1,15671,15671.0
25531,Es Riserva,4.5,1,371,371.0
21273,Aszú Eszencia,4.5,1,283,283.0
20867,Kapnios Aglianico,4.5,1,1134,1134.0
20732,Toscana,4.5,1,2185,2185.0
20435,Gran Enemigo,4.5,1,18739,18739.0
18710,Boal Madeira,4.5,1,1023,1023.0
17977,Mironia Black Edition Tempranillo,4.5,1,187,187.0
17961,Nuits-Saint-Georges 1er Cru 'Aux Murgers',4.5,1,40,40.0
17793,Limited Edition 10 Vendemmie,4.5,1,9453,9453.0
15356,"Barolo Riserva Monprivato Cà d'Morissio,Barolo Monprivato",4.5,2,7554,3777.0
14519,Terrasse à l'Ombre Côtes du Rhône,4.5,1,819,819.0
13958,"Amour de Deutz Millésimé Brut Champagne,Amour de Deutz Millesimé Rosé Brut Champagne",4.5,2,6068,3034.0
12574,Vieille Vigne Griottes-Chambertin Grand Cru,4.5,1,257,257.0
12058,Brunello di Montalcino,4.5,1,2623,2623.0
11714,"Chapelle d'Ausone Saint-Émilion Grand Cru,Saint-Émilion Grand Cru (Premier Grand Cru Classé)",4.5,2,7723,3861.5
11633,Amarone Stella,4.5,1,533,533.0
11539,Yarden Katzrin,4.5,1,894,894.0
11391,"Vintage Port Nacional,Vintage Port",4.5,2,3094,1547.0
11258,Pedrouzos Godello,4.5,1,109,109.0
11224,Cuvée Madame Barsac,4.5,1,94,94.0
11177,Belle Epoque Brut Champagne,4.5,1,20992,20992.0
11082,Brunello di Montalcino,4.5,1,4357,4357.0
11049,Ribera del Duero,4.5,1,69278,69278.0
11007,"Redigaffi Toscana,Per Sempre Syrah Toscana",4.5,2,5923,2961.5
9754,"Saint-Émilion Grand Cru (Premier Grand Cru Classé),Le Petit Cheval Bordeaux Blanc",4.5,2,28980,14490.0
9534,"Ice Wine de Purcari,Negru de Purcari Limited Edition,Academia Purcari Rară Neagră",4.5,3,1765,588.3333333333334
8194,"Mossone,Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore",4.5,2,986,493.0
7985,Cuvée Annamaria Clementi (Extra Brut),4.5,1,7928,7928.0
7967,Poggio all'Oro Brunello di Montalcino Riserva,4.5,1,7033,7033.0
7957,Flaccianello della Pieve,4.5,1,21518,21518.0
7829,Ermitage l'Ermite Blanc,4.5,1,296,296.0
7805,Vintage Port,4.5,1,2614,2614.0
6472,Hérédita Châteauneuf-du-Pape,4.5,1,185,185.0
6443,Clos Le Léon Dizy Champagne,4.5,1,53,53.0
6306,Petrucci Melo,4.5,1,61,61.0
5461,Baffonero Maremma Toscana,4.5,1,1682,1682.0
5384,Magma,4.5,1,748,748.0
5104,Pietro Dal Cero Amarone della Valpolicella,4.5,1,6424,6424.0
5036,Son Negre,4.5,1,521,521.0
4887,Amarone Senza Titolo,4.5,1,225,225.0
4626,LR,4.5,1,503,503.0
4333,"MV,MV Rosé,Collection Fût de Chêne Brut Champagne Grand Cru 'Ay'",4.5,3,5409,1803.0
4111,Faith,4.5,1,1048,1048.0
4015,Ferro,4.5,1,499,499.0
3765,"Continuum Estate,Novicium Estate",4.5,2,7444,3722.0
3435,"Millecento Brunello di Montalcino Riserva,Campo del Drago Brunello di Montalcino",4.5,2,4218,2109.0
3310,"FAY Cabernet Sauvignon,ARTEMIS Cabernet Sauvignon,S.L.V. Cabernet Sauvignon,CASK 23 Cabernet Sauvignon",4.5,4,108215,27053.75
3272,Chambertin Grand Cru,4.5,1,188,188.0
3139,"Tokaji Aszú 6 Puttonyos,Eszencia,Tokaji Aszú 3 Puttonyos,Tokaji Aszú 5 Puttonyos,Petracs Furmint",4.5,5,15583,3116.6
3122,Cuvée N Viñas Viejas,4.5,1,263,263.0
2995,5 Stelle Sfursat,4.5,1,10740,10740.0
2944,N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1,1482,1482.0
2915,Coteau de Vernon Condrieu,4.5,1,2015,2015.0
2912,Altura,4.5,1,2733,2733.0
2838,Étoile Rosé,4.5,1,183,183.0
2800,Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,1,68,68.0
2546,1694 Classification Red,4.5,1,1841,1841.0
2400,Alpine Hillside Pinot Noir,4.5,1,46,46.0
2389,Camí Pesseroles,4.5,1,1083,1083.0
2386,Le Montrachet Grand Cru,4.5,1,236,236.0
2294,"Cirsion Rioja,Roda I Reserva Rioja",4.5,2,26223,13111.5
2283,"Le Bourg Saumur Champigny,Les Poyeux Saumur Champigny",4.5,2,3269,1634.5
2268,Gran Reserva 890,4.5,1,11347,11347.0
2250,Vieux Marc de Bandol,4.5,1,102,102.0
2066,Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,1,1107,1107.0
1865,Amarone della Valpolicella Classico,4.5,1,6669,6669.0
1813,Clos des Goisses Champagne,4.5,1,4662,4662.0
1713,Barolo Riserva Cannubi 1752,4.5,1,451,451.0
1705,"Finca Bella Vista Malbec,Finca Altamira Malbec",4.5,2,15756,7878.0
1653,"Amarone della Valpolicella Classico,De Buris Amarone della Valpolicella Classico Riserva",4.5,2,78089,39044.5
1651,The Armagh Shiraz,4.5,1,2472,2472.0
1581,Richebourg Grand Cru,4.5,1,1296,1296.0
1574,"Vin Santo di Montepulciano,Vin Santo di Montepulciano Occhio di Pernice",4.5,2,2640,1320.0
1525,Pomerol,4.5,1,12214,12214.0
1517,Blueline Estate Cabernet Sauvignon,4.5,1,1321,1321.0
1499,"Amarone della Valpolicella Classico,Fieramonte Amarone della Valpolicella Riserva",4.5,2,28109,14054.5
1483,Les Clos Chablís Grand Cru,4.5,1,1750,1750.0
1364,Isosceles,4.5,1,18920,18920.0
1363,Howell Mountain Cabernet Sauvignon,4.5,1,6466,6466.0
1332,Dominus (Christian Moueix),4.5,1,22117,22117.0
1319,"Pavillon Rouge du Château Margaux,Château Margaux (Premier Grand Cru Classé)",4.5,2,61751,30875.5
1305,"St. Henri Shiraz,Grange,RWT Bin 798 Shiraz,802.A Superblend",4.5,4,43723,10930.75
1296,"Cabernet Sauvignon,Insignia",4.5,2,59218,29609.0
1285,Comtes de Champagne Blanc de Blancs,4.5,1,27449,27449.0
1239,Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,1,1971,1971.0
1233,Alàuda,4.5,1,670,670.0
1199,Vigna del Suolo Brunello di Montalcino,4.5,1,201,201.0
1183,Clos Sainte Hune Riesling Alsace,4.5,1,4106,4106.0
984,"Cabernet Sauvignon,Merlot,Reserve",4.5,3,6184,2061.3333333333335
363,Monte Bello,4.5,1,11978,11978.0
6063,"Amarone della Valpolicella Classico,Campo del Titari Amarone della Valpolicella Classico Riserva,Campo Inferi Amarone della Valpolicella Classico Riserva",4.499999999999999,3,10508,3502.6666666666665
1663,"Brunate  Barolo,La Serra Barolo,Rocche dell'Annunziata Torriglione Barolo,Riserva vecchie viti dei Capalot e delle Brunate Barolo,Rocche dell'Annunziata Barolo,Fossati Barolo",4.483333333333333,6,4632,772.0
1252,"Tenuta Tignanello 'Solaia',Tignanello,Tenuta Guado al Tasso Bolgheri Superiore,Pian delle Vigne Brunello di Montalcino,Castello della Sala Cervaro della Sala,Castello della Sala Muffato della Sala,Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,Tenuta Guado al Tasso Matarocchio,Secentenario",4.477777777777778,9,281106,31234.0
10917,"Barolo Bussia Romirasco,Barolo Riserva Granbussia,Barolo Bussia Cicala,Barolo Riserva Speciale Granbussia",4.475,4,6674,1668.5
7319,"Pedro Ximenez Tradición 20 Years Old Vos,Cream Tradición Vos 20 Years,Palo Cortado Añada,Palo Cortado Tradición Vors 30 Years Sherry",4.475,4,2654,663.5
1446,"Brunello di Montalcino,Pietradonice,Tenuta Nuova Brunello di Montalcino,Cerretalto Brunello di Montalcino",4.475,4,54562,13640.5
1437,"Nicolás Catena Zapata,Malbec Argentino,Adrianna Vineyard Fortuna Terrae Malbec,Adrianna Vineyard Mundus Bacillus Terrae Malbec",4.475,4,79609,19902.25
220297,"Luce,Luce Brunello di Montalcino,Lux Vitis",4.466666666666667,3,24544,8181.333333333333
37691,"Giallo d'Arles Greco di Tufo,Vigna Grande Cerzito Taurasi Riserva,Grande Cuvée Luigi Moio",4.466666666666667,3,3935,1311.6666666666667
12083,"Bonnes-Mares Grand Cru,Chambertin-Clos-de-Beze Grand Cru,Les Sentiers Chambolle-Musigny 1er Cru",4.466666666666667,3,3072,1024.0
1726,"Cerretta Barolo Riserva (Vigna Bricco),Arborina Barolo,Cannubi Barolo",4.466666666666667,3,4820,1606.6666666666667
1370,"Chloe Chardonnay,Finn Pinot Noir,Hyde Vineyard Chardonnay",4.466666666666667,3,1054,351.3333333333333
52,"Grace Vineyard Pinot Noir,Evenstad Reserve Pinot Noir,Mark Bradford Vineyard Pinot Noir",4.466666666666667,3,12170,4056.6666666666665
7941,"Bolgheri Superiore,Le Serre Nuove,Toscana Bianco",4.466666666666666,3,99183,33061.0
7636,"Les Bessards Hermitage,Domaine des Tourettes Hermitage Rouge,Ligne de Crete Les Grandes Vignes Hermitage",4.466666666666666,3,5397,1799.0
4047,"Bibbona,Lodovico,Il Pino di Biserno",4.466666666666666,3,27407,9135.666666666666
1347,"Falletto Barolo,Falletto Barbaresco Asili,Falletto Barolo Le Rocche del Falletto,Falletto Barolo Le Rocche del Falletto Riserva,Falletto Barbaresco Rabaja,Collina Rionda di Serralunga Barolo",4.466666666666666,6,8319,1386.5
7658,"Montrachet Grand Cru Blanc,Musigny Grand Cru,Clos Vougeot Grand Cru,Chambertin Grand Cru,Corton-Bressandes Grand Cru",4.459999999999999,5,3856,771.2
171382,"Vinha Centenaria Branco,Vinha dos Utras",4.45,2,346,173.0
64829,"Reserve Chardonnay,Estate Reserve Viognier",4.45,2,653,326.5
32935,"Arché,Elevage Branco",4.45,2,482,241.0
27224,"Lupi Rezerva,Saperavi",4.45,2,12349,6174.5
20691,"Brut Rosé Champagne,Brut Champagne (Gold)",4.45,2,4704,2352.0
11678,"Charmes-Chambertin Grand Cru,Vieilles Vignes Mazis-Chambertin Grand Cru",4.45,2,927,463.5
8824,"Bramare Marchiori Vineyard Malbec,Bramare Malbec Uco Valley",4.45,2,28465,14232.5
4620,"The Stork,The Mackenzie",4.45,2,2858,1429.0
4108,"Series C,Series M",4.45,2,6022,3011.0
3754,"Gran VU Blend,Los Jabalíes Single Vineyard Malbec",4.45,2,3057,1528.5
3109,"Campo dei Gigli Amarone della Valpolicella,Lilium Est Amarone Della Valpolicella Riserva",4.45,2,5783,2891.5
2531,"Toscana Rosso,Palazzi Rosso Toscana",4.45,2,3760,1880.0
2471,"Brut Rosé Champagne,Dom Ruinart Blanc de Blancs Brut Champagne",4.45,2,39613,19806.5
2164,"Les Grandes Places Côte-Rôtie,La Landonne Côte-Rôtie",4.45,2,1900,950.0
2025,"Aszú 6 puttonyos,5 Puttonyos Aszú (Blue Label)",4.45,2,13556,6778.0
1709,"Vosne-Romanée 1er Cru 'Aux Malconsorts',Nuits-Saint-Georges 1er Cru 'Aux Thorey'",4.45,2,1224,612.0
1572,"Brut Cuvée Champagne Rosé,Grand Siècle Champagne (Grande Cuvée)",4.45,2,46505,23252.5
1555,"Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,Vignes Centenaires 'La Richemone'",4.45,2,540,270.0
1376,"Grand Vin de Château Palmer (Grand Cru Classé),Historical XIXth Century Wine",4.45,2,29833,14916.5
1251,"Brunello di Montalcino,Brunello di Montalcino Riserva Madonna del Piano",4.45,2,12763,6381.5
1249,"Gorgona,Gorgona Rosso",4.45,2,711,355.5
1204,"Papillon,Eight Years In The Desert",4.45,2,57877,28938.5
22425,"Victorino,Alabaster",4.449999999999999,2,12002,6001.0
11815,"Moncerbal Bierzo (Corullón),La Faraona Bierzo (Corullón)",4.449999999999999,2,1513,756.5
2148,"La Cueva del Contador Rioja,Contador Rioja",4.449999999999999,2,6253,3126.5
1757,"Malleolus,Malleolus de Sanchomartin",4.449999999999999,2,38285,19142.5
1418,"Cabernet Sauvignon (Signature),Merlot (Signature)",4.449999999999999,2,16042,8021.0
1382,"Saint-Joseph,L'Hermitage",4.449999999999999,2,12523,6261.5
60883,"Costasera Amarone della Valpolicella Classico,Campolongo di Torbe Amarone della Valpolicella Classico,Mazzano Amarone Della Valpolicella Classico",4.433333333333334,3,101065,33688.333333333336
28466,"Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,Meursault 1er Cru 'Perrières',Meursault 1er Cru 'Genevrières' Blanc",4.433333333333334,3,1021,340.3333333333333
12131,"Rioja Reserva,Trasnocho,Rioja Blanco Reserva",4.433333333333334,3,17304,5768.0
1599,"Puligny-Montrachet Premier Cru La Garenne,Puligny-Montrachet Premier Cru Champ-Canet,Puligny-Montrachet Premier Cru Les Combettes",4.433333333333334,3,1802,600.6666666666666
1518,"Blanc de Blancs Brut Champagne Grand Cru,Cuvée Nicolas François Billecart Brut Champagne,Brut Rosé Champagne",4.433333333333334,3,35022,11674.0
1320,"Relentless,One Point Five Cabernet Sauvignon,TD9",4.433333333333334,3,29030,9676.666666666666
1298,"Châteauneuf-du-Pape,Vieilles Vignes Châteauneuf-du-Pape Blanc,Hommage à Jacques Perrin Châteauneuf-du-Pape",4.433333333333334,3,47706,15902.0
1269,"Brunello di Montalcino,Altero Brunello di Montalcino,Brunello di Montalcino Riserva",4.433333333333334,3,15666,5222.0
1260,"Barolo Rocche di Castiglione,Barolo Riserva Villero,Barolo Brunate",4.433333333333334,3,3557,1185.6666666666667
2147,"Crichet Pajè Barbaresco,Montefico Barbaresco Vecchie Viti,Asili Barbaresco Vecchie Viti,Pajè Barbaresco,Gallina Barbaresco,Barbaresco Albesani,Rocche di Castiglione Barolo",4.428571428571429,7,4276,610.8571428571429
