name,ratings_average,total_rating,users_count
1694 Classification Red,4.5,1841,269649
Les Clos Chablís Grand Cru,4.5,1750,5973301
Cuvée des Enchanteleurs Brut Champagne,4.5,1732,5973301
Barolo Riserva Granbussia,4.5,1728,4270717
Le Désir,4.5,1694,12273684
Baffonero Maremma Toscana,4.5,1682,4270717
Chablis Grand Cru 'Valmur',4.5,1653,5973301
Echezeaux Grand Cru,4.5,1649,5973301
Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,4.5,1640,5973301
The Stork,4.5,1638,269649
Rocche dell'Annunziata Barolo Riserva,4.5,1609,4270717
Barolo Bussia Romirasco,4.5,1544,4270717
N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,1482,5973301
Blueline Estate Cabernet Sauvignon,4.5,1321,12273684
Richebourg Grand Cru,4.5,1296,5973301
Lupi e Sirene Riserva,4.5,1292,4270717
Brunate  Barolo,4.5,1289,4270717
Le Bourg Saumur Champigny,4.5,1264,5973301
Rocche dell'Annunziata Torriglione Barolo,4.5,1222,4270717
Kapnios Aglianico,4.5,1134,4270717
Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,1107,4270717
Camí Pesseroles,4.5,1083,2264396
Faith,4.5,1048,269649
Boal Madeira,4.5,1023,1123535
Champagne,4.5,1021,5973301
Negru de Purcari Limited Edition,4.5,970,13583
Pedro Ximenez Tradición 20 Years Old Vos,4.5,954,2264396
Yarden Katzrin,4.5,894,150549
Toscana Bianco,4.5,833,4270717
Terrasse à l'Ombre Côtes du Rhône,4.5,819,5973301
El Carretil,4.5,748,2264396
Magma,4.5,748,4270717
Amarone della Valpolicella Classico Mater,4.5,739,4270717
Vinhas Velhas Tinto,4.5,736,1123535
Lilium Est Amarone Della Valpolicella Riserva,4.5,733,4270717
Ice Wine de Purcari,4.5,722,13583
Per Sempre Syrah Toscana,4.5,711,4270717
Montrachet Grand Cru Blanc,4.5,700,5973301
Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,681,5973301
Il San Lorenzo Bianco,4.5,673,4270717
Alàuda,4.5,670,4270717
Kupra Marche,4.5,637,4270717
Clos de Bèze Grand Cru,4.5,635,5973301
Chambertin-Clos-de-Beze Grand Cru,4.5,611,5973301
MV Rosé,4.5,588,5973301
Crichet Pajè Barbaresco,4.5,584,4270717
La Landonne Côte-Rôtie,4.5,584,5973301
Vigna Grande Cerzito Taurasi Riserva,4.5,581,4270717
Red Blend,4.5,559,326757
Bienvenues-Bâtard-Montrachet Grand Cru,4.5,556,5973301
Amour de Deutz Millesimé Rosé Brut Champagne,4.5,536,5973301
Châteauneuf-du-Pape Amiral G,4.5,536,5973301
Amarone Stella,4.5,533,4270717
Rujno Rosso,4.5,532,4270717
Lux Vitis,4.5,530,4270717
Son Negre,4.5,521,2264396
Marmar,4.5,514,2549989
LR,4.5,503,4270717
Ferro,4.5,499,4270717
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',4.5,484,5973301
Romanée-Saint-Vivant Grand Cru,4.5,463,5973301
Chloe Chardonnay,4.5,458,12273684
Barolo Riserva Cannubi 1752,4.5,451,4270717
Grande Cuvée I Terlaner,4.5,411,4270717
Mas Via Gran Reserva Brut,4.5,408,2264396
Reserve Chardonnay,4.5,396,269649
Grace Vineyard Pinot Noir,4.5,385,12273684
Es Riserva,4.5,371,4270717
Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,4.5,358,5973301
Sed de Caná,4.5,345,2264396
Riserva vecchie viti dei Capalot e delle Brunate Barolo,4.5,338,4270717
Finn Pinot Noir,4.5,331,12273684
Don PX Selección,4.5,326,2264396
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,4.5,314,5973301
Meursault 1er Cru 'Genevrières' Blanc,4.5,311,5973301
Cannubi Barolo,4.5,310,4270717
Vosne-Romanée 1er Cru Aux Malconsorts Christiane,4.5,309,5973301
'Giulio Ferrari' Riserva del Fondatore Rosé,4.5,308,4270717
Habemus Lazio Rosso (Etichetta Rossa),4.5,298,4270717
NŌ Rosso,4.5,297,4270717
Ermitage l'Ermite Blanc,4.5,296,5973301
Quarto Vecchio Amarone della Valpolicella Classico Riserva,4.5,292,4270717
Aszú Eszencia,4.5,283,102235
Pym-Rae Red Blend,4.5,273,12273684
Le Montrachet Grand Cru,4.5,266,5973301
Cuvée N Viñas Viejas,4.5,263,2264396
Vieille Vigne Griottes-Chambertin Grand Cru,4.5,257,5973301
Mark Bradford Vineyard Pinot Noir,4.5,254,12273684
Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese,4.5,242,2549989
Tourmaline Pomerol,4.5,237,5973301
Amarone Senza Titolo,4.5,225,4270717
Rocche dell'Annunziata Barolo,4.5,218,4270717
Vieilles Vignes Mazis-Chambertin Grand Cru,4.5,218,5973301
Cabochon Doppio Zero,4.5,217,4270717
Charlemagne Grand Cru,4.5,201,5973301
Vigna del Suolo Brunello di Montalcino,4.5,201,4270717
Puligny-Montrachet Premier Cru La Garenne,4.5,200,5973301
Chapelle-Chambertin Grand Cru,4.5,188,5973301
Mironia Black Edition Tempranillo,4.5,187,2264396
Hérédita Châteauneuf-du-Pape,4.5,185,5973301
Barbaresco Albesani,4.5,183,4270717
Étoile Rosé,4.5,183,5973301
Collina Rionda di Serralunga Barolo,4.5,156,4270717
Vite Talin Barolo,4.5,131,4270717
Denarius Graves,4.5,129,5973301
Pour Vous Sancerre,4.5,125,5973301
Gorgona Rosso,4.5,119,4270717
Bentrock Vineyard Chardonnay,4.5,118,12273684
Fossati Barolo,4.5,116,4270717
Pedrouzos Godello,4.5,109,2264396
Regina del Bosco R.Quarantottomesi,4.5,109,4270717
Vosne-Romanée Premier Cru Les Petits Monts,4.5,105,5973301
Vieux Marc de Bandol,4.5,102,5973301
Bruno Lunelli Riserva,4.5,96,4270717
Duna Mirante Primitivo di Manduria,4.5,96,4270717
Cuvée Madame Barsac,4.5,94,5973301
Rosso,4.5,88,4270717
Ciliegio Amarone della Valpolicella,4.5,76,4270717
Academia Purcari Rară Neagră,4.5,73,13583
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,68,5973301
802.A Superblend,4.5,66,1022965
Vinha dos Utras,4.5,65,1123535
Petrucci Melo,4.5,61,4270717
Chambolle-Musigny 1er Cru 'Les Amoureuses',4.5,59,5973301
Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',4.5,58,5973301
Oh Carlos Manuel! Tinto,4.5,58,1123535
Raut Lagrein,4.5,58,4270717
Barolo Riserva Speciale Granbussia,4.5,56,4270717
Clos Le Léon Dizy Champagne,4.5,53,5973301
Elevage Branco,4.5,53,1123535
Zeltinger Sonnenuhr Beerenauselese Riesling,4.5,49,2549989
Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,4.5,47,5973301
Alpine Hillside Pinot Noir,4.5,46,12273684
Nuits-Saint-Georges 1er Cru 'Aux Murgers',4.5,40,5973301
40 Years Old Port,4.5,37,1123535
Vin de Paille,4.5,35,5973301
Grenache,4.5,34,12273684
Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,4.5,33,5973301
Charity Edition Nebbiolo d'Alba Arione,4.5,29,4270717
Boghis Climat,4.5,27,4270717
Recioto della Valpolicella Classico Riserva,4.5,27,4270717
Trittenheimer Apotheke,4.5,27,2549989
Cabernet Sauvignon,4.4,203833,12273684
Amarone della Valpolicella Classico,4.4,198016,4270717
Pauillac (Grand Cru Classé),4.4,180233,5973301
Brunello di Montalcino,4.4,152746,4270717
ARTEMIS Cabernet Sauvignon,4.4,81351,12273684
Tinto,4.4,69727,2264396
Toro,4.4,60705,2264396
Brut Rosé Champagne,4.4,58965,5973301
Malbec Argentino,4.4,47435,629532
Alexander Valley Cabernet Sauvignon,4.4,46066,12273684
Cos d'Estournel,4.4,43704,5973301
Brut Cuvée Champagne Rosé,4.4,36681,5973301
Sauternes (Premier Grand Cru Classé),4.4,36532,5973301
Castello della Sala Cervaro della Sala,4.4,30203,4270717
Nicolás Catena Zapata,4.4,28227,629532
Eight Years In The Desert,4.4,27195,12273684
Roda I Reserva Rioja,4.4,22749,2264396
Pieve Santa Restituta Brunello di Montalcino,4.4,21867,4270717
Corton-Charlemagne Grand Cru,4.4,21820,5973301
Old Vines Primitivo di Manduria,4.4,20904,4270717
Mendoza,4.4,19849,629532
Bramare Malbec Uco Valley,4.4,19752,629532
Luce,4.4,17470,4270717
St. Henri Shiraz,4.4,17326,1022965
Pavillon Rouge du Château Margaux,4.4,16401,5973301
Gran Corte (VII),4.4,15016,629532
Turriga Isola dei Nuraghi,4.4,14641,4270717
Macán,4.4,14368,2264396
Quinta da Leda Douro,4.4,14197,1123535
Carruades de Lafite Pauillac,4.4,13866,5973301
Belondrade y Lurton,4.4,13567,2264396
Rioja Reserva,4.4,13544,2264396
Fusion V,4.4,12877,269649
Georges De Latour Private Reserve Cabernet Sauvignon,4.4,12652,12273684
Evenstad Reserve Pinot Noir,4.4,11531,12273684
5 Puttonyos Aszú (Blue Label),4.4,11106,102235
Paleo Rosso,4.4,10940,4270717
Saffredi,4.4,10499,4270717
Saint-Émilion Grand Cru,4.4,10335,5973301
Guerriero della Terra,4.4,10185,4270717
Domus Aurea Cabernet Sauvignon,4.4,9603,326757
50 & 50,4.4,9157,4270717
Baron de L Pouilly-Fumé,4.4,9002,5973301
Quarz Sauvignon,4.4,8884,4270717
Toscana I Sodi di San Niccolo,4.4,8853,4270717
Torre Muga,4.4,8767,2264396
Barón de Chirel Rioja Reserva,4.4,8578,2264396
Côtes de Bourg,4.4,8249,5973301
Le Petit Mouton de Mouton Rothschild Pauillac,4.4,8214,5973301
Siepi,4.4,8129,4270717
Dalmau Rioja,4.4,7868,2264396
Campo León Amarone della Valpolicella,4.4,7778,4270717
Kairos,4.4,7364,4270717
Côte-Rôtie,4.4,7177,5973301
Les Noisetiers,4.4,7035,12273684
Barolo Monprivato,4.4,6966,4270717
Clos des Lambrays Grand Cru,4.4,6431,5973301
Mai The First A.Montes Malbec,4.4,6379,629532
Vürsù Barolo Campè,4.4,6260,4270717
Douro,4.4,6214,1123535
Brunello di Montalcino  Montosoli,4.4,6176,4270717
Barsac (Premier Grand Cru Classé),4.4,6028,5973301
Trebbiano d'Abruzzo,4.4,5974,4270717
Blanc de Blancs Brut Champagne Grand Cru,4.4,5553,5973301
Ornato Barolo,4.4,5469,4270717
Lagrein Riserva Porphyr,4.4,5123,4270717
Campo dei Gigli Amarone della Valpolicella,4.4,5050,4270717
Beyond the Clouds,4.4,4760,4270717
Saperavi,4.4,4745,13583
Altero Brunello di Montalcino,4.4,4620,4270717
Poggio Al Vento Brunello di Montalcino Riserva,4.4,4542,4270717
Barolo Bussia,4.4,4525,4270717
Lupicaia,4.4,4414,4270717
Vürsù Barbaresco Starderi,4.4,4414,4270717
Barolo Cannubi Boschis,4.4,4298,4270717
Cinque Autoctoni Collection Limited Release,4.4,4281,4270717
Vürsù Barbaresco Gallina,4.4,4262,4270717
Amarone della Valpolicella Vigna Garzon,4.4,4227,4270717
Barolo Ginestra Casa Maté,4.4,4116,4270717
Réserve Côtes-du-Rhône,4.4,4027,5973301
Brut Champagne (Gold),4.4,3874,5973301
L'Apparita,4.4,3836,4270717
Nebukadnesar,4.4,3609,269649
Poggio Alle Nane Maremma Toscana,4.4,3509,4270717
Saint-Émilion Grand Cru (Grand Cru Classé),4.4,3498,5973301
Falletto Barbaresco Asili,4.4,3450,4270717
Treinta y Dos Pinot Noir,4.4,3417,629532
Barolo Bussia Cicala,4.4,3346,4270717
Guerriero del Mare,4.4,3290,4270717
Cuvée des Cadettes Châteauneuf-du-Pape,4.4,3283,5973301
Vürsù Barbaresco Valeirano,4.4,3263,4270717
Charmes-Chambertin Grand Cru,4.4,3141,5973301
d'Alceo,4.4,3133,4270717
Barolo Enrico VI,4.4,3107,4270717
Beaune 1er Cru 'Clos des Mouches' Blanc,4.4,3093,5973301
Altagracia Cabernet Sauvignon,4.4,3083,12273684
Scharzhofberger Riesling Kabinett,4.4,3047,2549989
Ai Suma Barbera d'Asti,4.4,3012,4270717
Series M,4.4,2995,269649
Ribera del Duero Prestigio,4.4,2994,2264396
Bâtard-Montrachet Grand Cru,4.4,2934,5973301
Il Bacca Old Vine Primitivo di Manduria,4.4,2933,4270717
Barolo Bricco Rocche,4.4,2923,4270717
Montelìg,4.4,2905,326757
Campo del Drago Brunello di Montalcino,4.4,2854,4270717
Interpretación,4.4,2760,2264396
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,4.4,2678,5973301
Clos de L'Obac,4.4,2588,2264396
Vieilles Vignes Châteauneuf-du-Pape Blanc,4.4,2587,5973301
Arborina Barolo,4.4,2527,4270717
Vigna Cappella di S. Stefano Perno Barolo,4.4,2514,4270717
80 Vecchie Vigne Primitivo di Manduria Old Vines,4.4,2476,4270717
Corton-Charlemagne Grand Cru Blanc,4.4,2453,5973301
Graticciaia,4.4,2451,4270717
Barolo Bricco Gattera,4.4,2365,4270717
Duemani Cabernet Franc,4.4,2339,4270717
Altura Máxima Malbec,4.4,2168,629532
V.P Extra Brut Champagne Grand Cru 'Ambonnay',4.4,2079,5973301
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,4.4,2077,5973301
Pinotage,4.4,2063,269649
Toknar,4.4,2033,326757
Vittorio Moretti,4.4,2025,4270717
Tenuta Montebello Picconero,4.4,2011,4270717
Ares,4.4,1995,1022965
Saint-Emilion Grand Cru (Premier Grand Cru Classé),4.4,1986,5973301
RWT Bin 798 Shiraz,4.4,1975,1022965
Merlot,4.4,1922,12273684
Reserve Pinotage,4.4,1891,269649
Vin Santo di Montepulciano Occhio di Pernice,4.4,1867,4270717
Pegrandi Amarone della Valpolicella Classico,4.4,1833,4270717
Ermitage Ex-Voto,4.4,1804,5973301
Rosé Brut Champagne Grand Cru 'Ambonnay',4.4,1782,5973301
Falletto Barolo,4.4,1760,4270717
One Sixteen Chardonnay,4.4,1753,12273684
V Red,4.4,1715,269649
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,4.4,1701,5973301
Giramonte Toscana,4.4,1678,4270717
Barolo Rocche,4.4,1615,4270717
Scharzhofberger Riesling Spätlese,4.4,1564,2549989
Mazis-Chambertin Grand Cru,4.4,1554,5973301
Les Bessards Hermitage,4.4,1515,5973301
La Grande Rue Grand Cru Monopole,4.4,1496,5973301
La Serra Barolo,4.4,1449,4270717
Clos Vougeot Grand Cru,4.4,1428,5973301
Colore Toscana,4.4,1415,4270717
Vigneto Bellavista Chianti Classico,4.4,1402,4270717
Helichrysum Brunello di Montalcino,4.4,1370,4270717
Les Grandes Places Côte-Rôtie,4.4,1316,5973301
Chambertin Clos de Bèze Grand Cru,4.4,1314,5973301
Gardarèm,4.4,1308,5973301
Chevalier-Montrachet Grand Cru Blanc,4.4,1283,5973301
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',4.4,1278,5973301
Barolo Rocche di Castiglione,4.4,1272,4270717
